iso3,country,pillar,module,indicator_id,indicator_name,indicator_type,variable_name,question,hierarchy_level,data_type,response,response_value,normalized_response_value,weight,score,parent,row_order,question_order,wip,wib,wim,regional_hub,un_region,barometer_region
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e.e1.INYEAR,2;Please indicate which section of the framework refers to this issue.,4,supporting,According to this law it is mandatory to publish the information Law No. 101-79 on the obligation to submit monthly reports Income and Expenses. https://www.digepres.gob.do/transparencia/wp-content/uploads/2013/05/2.8.1.1.5-LEY-101-79-SOBRE-OBLIGATORIEDAD-DE-PRESENTAR-REPORTES-MENSUALES-INGRESOS-Y-EGRESOS.pdf,,,,,G.PF.PUB-FINANCE.e.e1,2.1,51507,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e.e1.YER,The rules/guidance require year-end reports as structured data.,4,response,Yes,2,1,8.3,8.3,G.PF.PUB-FINANCE.e.e1,0,51508,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e.e1.YER,2;Please indicate which section of the framework refers to this issue.,4,supporting,article 8 states that there should be annual reports published https://www.digepres.gob.do/wp-content/uploads/2019/08/Ley-423-06-Organica-de-Presupuesto-para-el-Sector-Publico.pdf,,,,,G.PF.PUB-FINANCE.e.e1,2.1,51508,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e.e2,Provisions for data quality:,3,response,,,,20,10,G.PF.PUB-FINANCE.e,0,51509,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e.e2.AGENCY,The rules/guidance empower an agency or official to ensure the accurate and timely collection and publication of required data.,4,response,Yes,2,1,10,10,G.PF.PUB-FINANCE.e.e2,0,51510,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e.e2.AGENCY,2;Please indicate which section of the framework refers to this issue.,4,supporting,"The Law No. 101-79 indicates that DIGEPRES has to submit  monthly reports income and expenses of the government in Article 1-3 (1).

Source

(1) Law No. 101-79 on the obligation to submit monthly reports Income and Expenses. https://www.digepres.gob.do/transparencia/wp-content/uploads/2013/05/2.8.1.1.5-LEY-101-79-SOBRE-OBLIGATORIEDAD-DE-PRESENTAR-REPORTES-MENSUALES-INGRESOS-Y-EGRESOS.pdf",,,,,G.PF.PUB-FINANCE.e.e2,2.1,51510,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e.e2.VERIFICATION,The framework requires a verification process.,4,response,No,0,0,10,0,G.PF.PUB-FINANCE.e.e2,0,51511,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e.e3,"Provisions for openness, timing, and structure:",3,response,,,,30,15,G.PF.PUB-FINANCE.e,0,51512,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e.e3.TIMELY,The rules/guidance require that data is regularly updated.,4,response,Yes,2,1,15,15,G.PF.PUB-FINANCE.e.e3,0,51513,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e.e3.TIMELY,2;Please indicate which section of the framework refers to this issue.,4,supporting,"The Law No. 101-79 indicates that DIGEPRES has to submit  monthly reports income and expenses of the government in Article 1-3 (1).

Source

(1) Law No. 101-79 on the obligation to submit monthly reports Income and Expenses. https://www.digepres.gob.do/transparencia/wp-content/uploads/2013/05/2.8.1.1.5-LEY-101-79-SOBRE-OBLIGATORIEDAD-DE-PRESENTAR-REPORTES-MENSUALES-INGRESOS-Y-EGRESOS.pdf",,,,,G.PF.PUB-FINANCE.e.e3,2.1,51513,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e.e3.STRUCTURED,The rules/guidance support the collection of structured data.,4,response,No,0,0,15,0,G.PF.PUB-FINANCE.e.e3,0,51514,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.c,Extent,2,response,,,,1,1,G.PF.PUB-FINANCE,0,51515,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.c.EXTENT,"How comprehensive is the coverage of laws, regulations, policies, or guidance assessed for this question?",4,response,"The laws, regulations, policies or guidance assessed, or equivalent rules/guidance, apply across the whole public sector including national, sub-national, and local government.",3,1,,,G.PF.PUB-FINANCE.c,0,51516,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.c.EXTENT,"3;Are there any notable exceptions? (E.g., defence sector.)",4,supporting,"The legal framework of this directorate is govern by multiple laws. All the laws apply across the whole public sector and the nation. The General Budget Directorate (DIGEPRES) is the responsible agency in this area (1).

Source

(1) DIGEPRES Website. https://www.digepres.gob.do/",,,,,G.PF.PUB-FINANCE.c,2.2,51516,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND,To what extent is government budget and spending information (budget execution) available as structured open data?,1,response,,,,,78.15,A.PF.BUDGETSPEND,0,51517,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND,To what extent is government budget and spending information (budget execution) available as structured open data?,1,justification,"DIGEPRES is the institution in charge of publishing the datasets, they don't specify the license on which the datasets are published. The datasets have different time range, the largest cover a 50 year period. The data is updated to April 2021.

The budget data is structured and separated into multiple datase. On their website they publish the government income (2), expenditure (3), balance (4), consolidate (5) and budget execution (6).

Source

(1) DIGEPRES Website. https://www.digepres.gob.do/
(2) https://www.digepres.gob.do/estadisticas/ingresos/
(3) https://www.digepres.gob.do/estadisticas/gastos/
(4) https://www.digepres.gob.do/estadisticas/balance/
(5) https://www.digepres.gob.do/estadisticas/consolidado/
(6) https://www.digepres.gob.do/estadisticas-ejecucion-presupuestaria/",,,,,A.PF.BUDGETSPEND,1,51517,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.a,Existence,2,response,,,,1,1,A.PF.BUDGETSPEND,0,51518,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.a.ONLINE,Is this data available online in any form?,4,response,"Data is available from government, or because of government actions.",2,1,,,A.PF.BUDGETSPEND.a,0,51519,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.a.ONLINE,"1,2;Please provide a URL(s) for where this data can be found.",4,supporting,"The government budget and spending is published by the General Budget Directorate (DIGEPRES) (1). On their website they publish the government income (2), expenditure (3), balance (4), consolidate (5) and budget execution (6).

Source

(1) DIGEPRES Website. https://www.digepres.gob.do/
(2) https://www.digepres.gob.do/estadisticas/ingresos/
(3) https://www.digepres.gob.do/estadisticas/gastos/
(4) https://www.digepres.gob.do/estadisticas/balance/
(5) https://www.digepres.gob.do/estadisticas/consolidado/
(6) https://www.digepres.gob.do/estadisticas-ejecucion-presupuestaria/",,,,,A.PF.BUDGETSPEND.a,2.2,51519,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.e,Elements,2,response,,,,100,78.15,A.PF.BUDGETSPEND,0,51520,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.e.e1,Kinds of data:,3,response,,,,20,20,A.PF.BUDGETSPEND.e,0,51521,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.e.e1.PROPOSED,"There is structured data available on the executive budget proposal in gross terms, including spending on annual and multi-annual investment projects.",4,response,Yes,2,1,2.84,2.84,A.PF.BUDGETSPEND.e.e1,0,51522,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.e.e1.PROPOSED,"1,2;If budget and spending data can be found in multiple datasets, please provide the URL(s) where data on the executive budget proposal is located.",4,supporting,"The government consolidate is published by the General Budget Directorate (DIGEPRES) (1).
Sources

(1) https://www.digepres.gob.do/estadisticas/consolidado/",,,,,A.PF.BUDGETSPEND.e.e1,2,51522,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.e.e1.AMENDED,There is structured data available on amended budgets (when applicable) or amendments of the enacted budget.,4,response,Yes,2,1,2.84,2.84,A.PF.BUDGETSPEND.e.e1,0,51523,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.e.e1.AMENDED,"1,2;If budget and spending data can be found in multiple datasets, please provide the URL(s) where data on amended budgets is located.",4,supporting,"The government balance(1), expenditure (2) and income (3) is published by the General Budget Directorate (DIGEPRES).

Sources

(1) https://www.digepres.gob.do/estadisticas/balance/
(2) https://www.digepres.gob.do/estadisticas/gastos/
(3) https://www.digepres.gob.do/estadisticas/ingresos/",,,,,A.PF.BUDGETSPEND.e.e1,2,51523,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.e.e1.APPROVED,"There is structured data available on the approved or enacted budget in gross terms, including spending on annual and multi-annual investment projects.",4,response,Yes,2,1,2.9,2.9,A.PF.BUDGETSPEND.e.e1,0,51524,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.e.e1.APPROVED,"1,2;If budget and spending data can be found in multiple datasets, please provide the URL(s) where data on the approved or enacted budget is located.",4,supporting,"The government balance(1), expenditure (2) and income (3) is published by the General Budget Directorate (DIGEPRES).

Sources

(1) https://www.digepres.gob.do/estadisticas/balance/
(2) https://www.digepres.gob.do/estadisticas/gastos/
(3) https://www.digepres.gob.do/estadisticas/ingresos/",,,,,A.PF.BUDGETSPEND.e.e1,2,51524,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.e.e1.SGA,"There is structured data about government budget execution or spending, in gross terms and on an accrual basis, including spending in annual and multi-annual investment projects.",4,response,Yes,2,1,2.9,2.9,A.PF.BUDGETSPEND.e.e1,0,51525,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.e.e1.SGA,"1,2;If budget and spending data can be found in multiple datasets, please provide the URL(s) where data on government spending is located.",4,supporting,"The government balance(1), expenditure (2) and income (3) is published by the General Budget Directorate (DIGEPRES).

Sources

(1) https://www.digepres.gob.do/estadisticas/balance/
(2) https://www.digepres.gob.do/estadisticas/gastos/
(3) https://www.digepres.gob.do/estadisticas/ingresos/",,,,,A.PF.BUDGETSPEND.e.e1,2,51525,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.e.e1.EXTRASPENDING,"There is structured data about the government's extrabudgetary funds spending, in gross terms and on an accrual basis.",4,response,Yes,2,1,2.84,2.84,A.PF.BUDGETSPEND.e.e1,0,51526,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.e.e1.EXTRASPENDING,"1,2;If budget and spending data can be found in multiple datasets, please provide the URL(s) where data on extrabudgetary spending is located.",4,supporting,"The government balance(1), expenditure (2) and income (3) is published by the General Budget Directorate (DIGEPRES).

Sources

(1) https://www.digepres.gob.do/estadisticas/balance/
(2) https://www.digepres.gob.do/estadisticas/gastos/
(3) https://www.digepres.gob.do/estadisticas/ingresos/",,,,,A.PF.BUDGETSPEND.e.e1,2,51526,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.e.e1.SOCIALSECURITY,"There is structured data about the government's social security spending, in gross terms and on an accrual basis.",4,response,Yes,2,1,2.84,2.84,A.PF.BUDGETSPEND.e.e1,0,51527,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.e.e1.SOCIALSECURITY,"1,2;If budget and spending data can be found in multiple datasets, please provide the URL(s) where data on social security spending is located.",4,supporting,"The government balance(1), expenditure (2) and income (3) is published by the General Budget Directorate (DIGEPRES).

Sources

(1) https://www.digepres.gob.do/estadisticas/balance/
(2) https://www.digepres.gob.do/estadisticas/gastos/
(3) https://www.digepres.gob.do/estadisticas/ingresos/",,,,,A.PF.BUDGETSPEND.e.e1,2,51527,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.e.e1.PUBCORP,"There is structured data about public corporations' spending, in gross terms and on an accrual basis.",4,response,Yes,2,1,2.84,2.84,A.PF.BUDGETSPEND.e.e1,0,51528,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.e.e1.PUBCORP,"1,2;If budget and spending data can be found in multiple datasets, please provide the URL(s) where data on public corporations' spending is located.",4,supporting,"The government balance(1), expenditure (2) and income (3) is published by the General Budget Directorate (DIGEPRES).

Sources

(1) https://www.digepres.gob.do/estadisticas/balance/
(2) https://www.digepres.gob.do/estadisticas/gastos/
(3) https://www.digepres.gob.do/estadisticas/ingresos/",,,,,A.PF.BUDGETSPEND.e.e1,2,51528,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Availability,PUBLIC FINANCE,A.PF.BUDGETSPEND,Availability (PF): Budget and spend data,Primary,A.PF.BUDGETSPEND.e.e2,Data fields and quality:,3,response,,,,20,8.75,A.PF.BUDGETSPEND.e,0,51529,0.057,0.02394,0.55,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
